Filename, Title (from PDF XMP metadata)
216099s, Alfabetizacion mediatica e informacional: curriculum para profesores; 2011
216284e, Mobile learning for teachers in Asia: exploring the potential of mobile technologies to support teachers and improve practice; UNESCO working paper series on mobile learning; 2012
216312e, Regional Policy Seminar on Education Finance and Decentralization in Asia: Implications for Service Delivery; Decentralized finance and provision of basic education; Asia-Pacific education system review series; Vol.:4; 2013
216359e, Turning on mobile learning in Africa and the Middle East: illustrative initiatives and policy implications; UNESCO working paper series on mobile learning; 2012
216383e, Education for sustainable development: sourcebook; Education for sustainable development in action: learning & training tools; Vol.:4; 2013
216478s, Guardarenas Sandwatch: adaptarse al cambio climatico y educar para el desarollo sostenible; 2012
216493e, Education sector responses to homophobic bullying; Good policy and practice in HIV & AIDS and education. Booklet; Vol.:8; 2013
216529e, Community development through world heritage; World heritage series: papers; Vol.:31; 2012
216572e, Assessing marine world heritage from an ecosystem perspective: the Western Indian Ocean; World heritage series: papers; Vol.:32; 2012
216606e," Shaping the education of tomorrow: 2012 report on the UN Decade of Education for Sustainable Development, abridged; 2013"
216661e, School-to-work transition: information bases; Asia-Pacific education system review series; Vol.:6; 2013
216679f, L'Education pour le developpement durable: ouvrage de reference; L'education pour le developpement durable en action: outils pedagogiques; Vol.:4; 2012
216735e, Managing natural world heritage; World heritage resource manual; 2012
216756s, Educacion para el desarollo sostenible: libro de consulta; La educacion para el desarrollo sostenible en accion: instrumentos de aprendizaje y formacion; Vol.:4; 2012
216910f, TIC UNESCO: un referentiel de competences pour les enseignants; 2012
217105e, Fighting racism and discrimination: identifying and sharing good practices in the International Coalition of Cities; 2012
217165e, Green accounting and data improvement for water resources; World Water Assessment Programme: side publications series; Vol.:2; 2012
217180e," Water and sustainability: a review of target, tools and regional cases; World Water Assessment Programme: side publications series; Vol.:3; 2012"
217181e," Carbon and water footprints: concepts, methodologies and policy responses; World Water Assessment Programme: side publications series; Vol.:4; 2012"
217311s, Atlas mundial de la igualdad de genero en la educacion; 2012
217567f, Developpement des capacites pour l'Education pour tous: de la theorie a la pratique; le programme CapEFA; 2012
217636e, The Global investigative journalism casebook; UNESCO series on journalism education; 2012
217638e, Mobile learning and policies: key issues to consider; UNESCO working paper series on mobile learning; 2012
217742f," World Heritage Marine Site...; 1st; Cap sur le futur du patrimoine mondial marin: resultats de la premiere reunion des gestionnaires des sites marins du patrimoine mondial, Honolulu, Hawaii, 1er -3 decem...; Cahiers du patrimoine mondial; Vol.:28; 2012"
217743s," World Heritage Marine Site...; 1st; Navegando el futuro del patrimonio mundial marino: resultados de la primera reunion de administradores de sitios marinos del patrimonio mundial, Honolulu, Hawai, 1-...; Cuadernos del patrimonio mundial; Vol.:28; 2011"
217748e, African Human Origin Sites and the World Heritage Convention; Human origin sites and the World Heritage Convention in Africa; World heritage series: papers; Vol.:33; 2012
217816e, KEDI-UNESCO Bangkok Joint Seminar on Monitoring Student Learning Outcomes and School Performance; Student learning assessment; Asia-Pacific education system review series; Vol.:5; 2013
217831e, Gender-sensitive indicators for media: framework of indicators to gauge gender sensitivity in media operations and content; 2012
218003e," Youth and skills: putting education to work, EFA global monitoring report, 2012; 2013"
218273e, Global survey on internet privacy and freedom of expression; UNESCO series on internet freedom; 2013
218275e, Understanding world heritage in Asia and the Pacific: the second cycle of periodic reporting 2010-2012; World heritage series: papers; Vol.:35; 2013
218344por, Sandwatch: adaptar-se a mudanca climatica e educar para o desenvolvimento sustentavel; 2012
218436e, Echoes at fishermen's rock: traditional Tokelau fishing; Knowledges of nature; Vol.:4; 2012
218450e, From access to equality: empowering girls and women through literacy and secondary education; 2012
218552s, Material educativo para los paises situados en zonas montanosas: una manera creativa de educar sobre el medio ambiente; 2011
218618e, Freedom of expression toolkit: a guide for students; 2013
218631e, Why teach about the Holocaust; 2013
218793e," Gender equality, HIV and education; Good policy and practice in HIV & AIDS and education. Booklet; Vol.:7; 2012"
219086f, Gerer le patrimoine mondial naturel; Patrimoine mondial: manuel de reference; 2012
219155s, Forjar la educacion del manana: Decenio de las Naciones Unidas de la Educacion para el Dessarollo Sostenible: informe 2012 (abreviado); 2012
219220f, Reponses du secteur de l'education au harcelement homophobe; Politiques rationnelles et bonnes pratiques sur l'education et le VIH & SIDA. Brochure; Vol.:8; 2013
219447e, Integrated environmental assessment of agricultural and farming production systems in the Toledo River Basin (Brazil); 2013
219494e, The Principle of Respect for Human Vulnerability and Personal Integrity: report of the International Bioethics Committee of UNESCO (IBC); 2013
219637e, The Future of mobile learning: implications for policy makers and planners; UNESCO working paper series on mobile learning; 2013
219641e, UNESCO policy guidelines for mobile learning; 2013
219661f, Principes directeurs de l'UNESCO pour l'apprentissage mobile; 2013
219662s, Directrices para las politicas de aprendizaje movil; 2013
219667e, Overview of information literacy resources worldwide; 2013
219895f, Conseils pratiques pour le soutien a la mise en oeuvre d' EDUSIDA; 2013
220418por, Alfabetizacao midiatica e informacional: curriculo para formacao de professores; 2013
221008e," National Journeys towards Education for Sustainable Development, 2013: reviewing national ESD experiences from Costa Rica, Morocco, South Africa, Sweden, Viet Nam; 2013"
221033e, Promoting inclusive teacher education: introduction; Promoting inclusive teacher education: advocacy guide; Vol.:1; 2014
221034e, Promoting inclusive teacher education: policy; Promoting inclusive teacher education: advocacy guide; Vol.:2; 2014
221035e, Promoting inclusive teacher education: curriculum; Promoting inclusive teacher education: advocacy guide; Vol.:3; 2014
221036e, Promoting inclusive teacher education: materials; Promoting inclusive teacher education: advocacy guide; Vol.:4; 2014
221037e, Promoting inclusive teacher education: methodology; Promoting inclusive teacher education: advocacy guide; Vol.:5; 2013
221038e, Education microplanning toolkit: introductory module; 2014
221105e," Technical report of the project: Climate Change and Human Impacts on the Sustainability of Groundwater Resources: Quantity and Quality Issues, Mitigation and Adaptation Strategies in the Toledo River Basin (Brazil); 2013"
221199e, Model curricula for journalism education: a compendium of new syllabi; UNESCO series on journalism education; 2013
221397f," Batir l'education de demain: rapport 2012 sur la Decennie des Nations Unies pour l'education au service du developpement durable, version abregee; 2013"
221797f, De l'acces a l'egalite: autonomiser les filles et les femmes par l'alphabetisation et l'enseignement secondaire; 2013
222085f, Principes directeurs pour le developpement et la promotion du libre acces; 2013
222916por, Preparacao de candidaturas para o Patrimonio Mundial; Manual de referencia do patrimonio mundial; 2013
